City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,caleta de carquin,-11.0925,-77.6267,16.29,89,66,4.07,PE,1726298426
165,dudinka,69.4058,86.1778,4.49,51,5,9.84,RU,1726298427
166,whitehorse,60.7161,-135.0538,5.45,88,20,2.57,CA,1726298428
167,ust-nera,64.5667,143.2,4.22,98,100,2.01,RU,1726298429
168,fale old settlement,-9.3852,-171.2468,28.08,78,6,6.22,TK,1726298430
169,iwanai,42.9744,140.5089,19.73,61,100,0.21,JP,1726298432
170,batang,-6.4846,110.7083,29.86,55,100,3.87,ID,1726298433
171,east london,-33.0153,27.9116,18.52,72,75,4.12,ZA,1726298434
172,san luis de la loma,17.2706,-100.8939,27.55,86,100,1.4,MX,1726298435
173,hamilton,39.1834,-84.5333,22.64,75,40,4.12,US,1726298436
174,nova vicosa,-17.8919,-39.3719,21.59,89,13,3.21,BR,1726298437
175,kshenskiy,51.8408,37.7136,23.18,29,28,6.84,RU,1726298438
176,turan,16.0678,108.2208,30.99,70,40,6.17,VN,1726298439
177,nemuro,43.3236,145.575,15.46,67,100,4.93,JP,1726298441
178,staritsa,56.5075,34.9354,19.86,40,91,4.96,RU,1726298443
179,port elizabeth,-33.918,25.5701,19.06,78,0,4.63,ZA,1726298444
180,klyuchi,52.2667,79.1667,14.67,50,92,2.56,RU,1726298445
181,ketchikan,55.3422,-131.6461,12.65,94,100,1.54,US,1726298448
182,chinde,26.8212,87.7095,30.21,67,55,2.21,NP,1726298449
183,urumqi,43.801,87.6005,15.53,55,20,4.0,CN,1726298450
184,talnakh,69.4865,88.3972,6.94,46,0,6.27,RU,1726298451
185,laguna,38.421,-121.4238,21.08,59,0,2.06,US,1726298452
186,puerto cabezas,14.0351,-83.3888,25.8,88,99,1.71,NI,1726298453
187,porto novo,6.4965,2.6036,24.9,98,100,2.35,BJ,1726298454
188,nadarzyn,52.0944,20.8078,18.25,95,100,5.14,PL,1726298455
189,malvan,16.0667,73.4667,28.43,71,73,4.27,IN,1726298456
190,naze,28.3667,129.4833,27.51,92,100,16.64,JP,1726298458
191,damaturu,11.747,11.9608,25.18,73,100,2.59,NG,1726298459
192,kapa'a,22.0752,-159.319,26.18,76,40,8.23,US,1726298460
193,brookings,44.3114,-96.7984,17.36,87,100,4.63,US,1726298271
194,mount isa,-20.7333,139.5,29.87,26,40,2.06,AU,1726298462
195,baie-comeau,49.2168,-68.1489,11.82,76,0,3.6,CA,1726298463
196,bodaybo,57.8506,114.1933,12.93,65,100,3.7,RU,1726298464
197,tromso,69.6496,18.957,11.01,54,75,6.17,NO,1726298465
198,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1726298466
199,kalmunai,7.4167,81.8167,33.53,50,100,5.85,LK,1726298468
200,enewetak,11.3474,162.3373,28.38,74,100,2.65,MH,1726298469
201,gao,16.6362,1.637,27.64,59,72,0.68,ML,1726298470
202,irymple,-34.25,142.1667,16.16,40,87,2.24,AU,1726298471
203,colon,9.3592,-79.9014,24.97,86,50,0.45,PA,1726298472
204,tralee,52.2704,-9.7026,13.64,95,96,3.1,IE,1726298474
205,jibia,13.0978,7.2225,25.72,75,100,1.98,NG,1726298476
206,childress,34.4264,-100.204,25.14,65,0,3.6,US,1726298477
207,ikalamavony,-21.15,46.5833,24.57,38,0,3.87,MG,1726298478
208,soio,-6.1349,12.3689,23.54,87,100,2.41,AO,1726298479
209,aasiaat,68.7098,-52.8699,-1.31,95,100,1.75,GL,1726298480
210,zouerate,22.7187,-12.4521,27.41,27,0,1.21,MR,1726298481
211,kruisfontein,-34.0033,24.7314,16.69,59,0,1.16,ZA,1726298482
212,auki,-8.7676,160.7034,24.8,94,100,0.54,SB,1726298483
213,pekan,3.4836,103.3996,29.54,68,100,3.83,MY,1726298485
214,bandiagara,14.3501,-3.6104,27.05,70,80,0.97,ML,1726298486
215,queenstown,-31.8976,26.8753,13.42,65,86,1.15,ZA,1726298487
216,zarnovica,48.4812,18.7157,12.59,98,100,1.38,SK,1726298488
217,leava,-14.3,-178.1667,26.72,83,95,8.42,WF,1726298489
218,alice springs,-23.7,133.8833,24.75,18,0,6.69,AU,1726298490
219,piti village,13.4626,144.6933,27.49,89,75,4.12,GU,1726298491
220,hammerfest,70.6634,23.6821,11.25,76,75,2.06,NO,1726298213
221,vadso,70.0744,29.7487,12.09,82,100,1.03,NO,1726298494
222,hasaki,35.7333,140.8333,28.14,81,17,8.93,JP,1726298495
223,kappeln,54.6612,9.9313,12.71,71,1,5.5,DE,1726298496
224,khedbrahma,24.0333,73.05,29.5,59,43,5.01,IN,1726298497
225,sirte,31.2089,16.5887,27.31,68,40,7.39,LY,1726298498
226,monett,36.929,-93.9277,19.1,100,100,2.06,US,1726298499
227,polyarnyy,69.1989,33.4478,10.44,98,100,3.86,RU,1726298500
228,paciran,-6.8767,112.3761,30.83,52,19,6.37,ID,1726298501
229,stephenville,32.2207,-98.2023,24.52,79,0,1.54,US,1726298502
230,pombas,17.1503,-25.0201,19.14,74,37,3.71,CV,1726298504
231,murmansk,68.0,34.0,16.1,88,100,2.22,RU,1726298505
232,sao lourenco do sul,-31.3653,-51.9783,15.7,95,100,6.07,BR,1726298506
233,taoudenni,22.6783,-3.9836,33.92,24,100,2.0,ML,1726298507
234,kapchorwa,1.3965,34.4509,22.18,51,24,1.82,UG,1726298508
235,selfoss,63.9331,-20.9971,4.47,53,100,5.21,IS,1726298511
236,st. john's,47.5649,-52.7093,13.42,95,20,2.57,CA,1726298512
237,coahuayana de hidalgo,18.7,-103.6583,25.65,94,100,1.35,MX,1726298513
238,prado,-17.3411,-39.2208,21.77,87,14,3.25,BR,1726298514
239,sabang,5.8933,95.3214,28.06,79,100,9.8,ID,1726298515
240,ballina,-28.8667,153.5667,18.2,62,14,2.05,AU,1726298516
241,tobol'sk,58.2,68.2667,19.46,63,7,3.45,RU,1726298517
242,happy valley-goose bay,53.3168,-60.3315,8.17,87,75,2.06,CA,1726298518
243,auburn,47.3073,-122.2284,15.12,93,100,3.6,US,1726298519
244,masterton,-40.9597,175.6575,9.65,99,100,0.52,NZ,1726298521
245,quelimane,-17.8786,36.8883,25.97,73,40,3.09,MZ,1726298522
246,olyokminsk,60.3736,120.4264,3.73,75,100,1.78,RU,1726298523
247,esens,53.6487,7.6127,13.32,74,36,4.62,DE,1726298524
248,skegness,53.1436,0.3363,10.03,69,92,5.91,GB,1726298525
249,ta`u,-14.2336,-169.5144,26.62,84,22,8.23,AS,1726298526
250,westport,41.1415,-73.3579,17.73,87,0,0.9,US,1726298527
251,utrik,11.2278,169.8474,28.77,79,69,8.41,MH,1726298528
252,shevchenkove,49.6959,37.1735,25.1,26,0,7.71,UA,1726298529
253,nadym,65.5333,72.5167,14.02,62,18,5.23,RU,1726298531
254,teknaf,20.8624,92.3058,26.18,93,100,6.32,BD,1726298532
255,dumai,1.6833,101.45,31.06,70,83,0.94,ID,1726298533
256,aberglasslyn,-32.7,151.5333,21.42,41,7,4.39,AU,1726298534
257,egilsstadir,65.2653,-14.3948,-0.05,86,20,5.14,IS,1726298535
258,sinabang,2.4803,96.3801,29.29,69,100,2.57,ID,1726298536
259,mar del plata,-38.0023,-57.5575,7.27,93,0,3.13,AR,1726298253
260,amungan,15.3652,119.9582,28.45,78,100,0.98,PH,1726298538
261,anzio,41.4853,12.6179,17.48,53,0,4.44,IT,1726298539
262,la passe,45.5549,-0.8967,11.07,74,84,4.54,FR,1726298541
263,raduzhny,62.0961,77.475,13.48,40,52,5.87,RU,1726298542
264,urucara,-2.5364,-57.76,24.97,61,26,1.26,BR,1726298543
265,kodoli,16.8833,74.2,26.76,68,67,6.5,IN,1726298544
266,kangding,30.0513,101.9603,22.66,70,72,3.14,CN,1726298545
267,jati,24.3539,68.2671,32.48,47,0,9.71,PK,1726298546
268,charters towers,-20.1,146.2667,27.87,29,6,7.12,AU,1726298547
269,hanko,59.8333,22.95,14.35,97,100,7.15,FI,1726298548
270,nuku'alofa,-21.1333,-175.2,23.19,88,40,2.06,TO,1726298549
271,civitavecchia,42.0933,11.7967,15.9,63,57,2.63,IT,1726298551
272,bodo,67.28,14.405,11.08,71,75,6.17,NO,1726298552
273,chernyshevsk,52.5243,117.0174,16.82,27,100,4.37,RU,1726298553
274,zhezqazghan,47.7833,67.7667,21.32,32,0,10.0,KZ,1726298554
275,nikolayevsk-on-amure,53.1406,140.73,16.81,46,14,2.05,RU,1726298555
276,sidi akkacha,36.4647,1.3026,22.16,68,1,5.39,DZ,1726298556
277,beitbridge,-22.2167,30.0,29.32,26,0,2.66,ZW,1726298557
278,ko samui,9.5357,99.9357,31.95,62,20,5.14,TH,1726298558
279,nongstoin,25.5167,91.2667,23.12,86,100,2.94,IN,1726298559
280,santa luzia,-19.7697,-43.8514,20.5,69,5,1.98,BR,1726298561
281,ust-kamenogorsk,49.9789,82.6103,13.96,62,75,2.0,KZ,1726298562
282,illizi,26.4833,8.4667,31.47,38,100,1.2,DZ,1726298563
283,mitu,1.1983,-70.1733,23.14,92,100,0.9,CO,1726298564
284,riosucio,5.4216,-75.7032,16.9,96,100,0.33,CO,1726298565
285,ada,43.4166,-116.1262,13.56,54,0,5.14,US,1726298566
286,bamboo flat,11.7,92.7167,30.05,79,75,6.17,IN,1726298567
287,alotau,-10.3069,150.4462,25.77,87,100,2.55,PG,1726298568
288,shar,49.5886,81.0453,14.81,48,100,3.39,KZ,1726298569
289,jamestown,42.097,-79.2353,15.8,97,0,1.54,US,1726298571
290,bilicenii vechi,47.6564,28.0472,21.94,72,99,6.9,MD,1726298572
291,nago,26.5881,127.9761,28.78,85,100,4.08,JP,1726298573
292,yamada,39.4667,141.95,21.4,78,100,2.08,JP,1726298574
293,malanje,-9.5402,16.341,23.14,67,15,2.65,AO,1726298575
294,arraial do cabo,-22.9661,-42.0278,20.98,94,0,5.66,BR,1726298576
295,vila velha,-20.3297,-40.2925,22.97,78,20,2.57,BR,1726298577
296,buka,40.8108,69.1986,28.23,16,100,2.1,UZ,1726298578
297,novaya mayna,54.15,49.75,21.74,40,19,2.77,RU,1726298579
298,tofol,5.3248,163.0078,28.91,65,99,1.7,FM,1726298581
299,kolwezi,-10.7148,25.4667,25.76,20,2,4.53,CD,1726298583
300,merta,26.65,74.0333,27.84,64,98,5.27,IN,1726298584
301,belmonte,-15.8631,-38.8828,21.68,88,100,2.31,BR,1726298585
302,broken hill,-31.95,141.4333,17.0,29,84,8.65,AU,1726298586
303,puerto supe,-10.8167,-77.75,15.62,91,77,3.51,PE,1726298588
304,chimay,50.0486,4.3171,8.76,84,68,0.96,BE,1726298590
305,masina,-4.3836,15.3914,24.19,72,47,3.06,CD,1726298591
306,cidreira,-30.1811,-50.2056,18.14,94,100,4.68,BR,1726298592
307,chibougamau,49.9168,-74.3659,6.79,93,0,0.0,CA,1726298593
308,margate,51.3813,1.3862,10.94,57,98,2.8,GB,1726298594
309,jolo,6.05,121.0167,28.15,85,95,5.64,PH,1726298595
310,college,64.8569,-147.8028,8.99,92,75,2.57,US,1726298596
311,caconda,-13.7333,15.0667,22.65,44,49,1.54,AO,1726298597
312,kalix,65.853,23.1565,11.31,57,100,3.23,SE,1726298598
313,quimili,-27.6333,-62.4167,13.83,51,27,4.79,AR,1726298600
314,urangan,-25.3,152.9,20.29,57,10,8.11,AU,1726298602
315,kigoma,-4.8769,29.6267,28.11,36,4,4.61,TZ,1726298603
316,fujin,47.26,132.0322,16.76,49,100,2.55,CN,1726298604
317,akureyri,65.6835,-18.0878,-3.04,93,20,1.03,IS,1726298605
318,susuman,62.7833,148.1667,3.36,99,100,1.74,RU,1726298606
319,uyovu,-3.2833,31.5258,27.35,23,14,3.51,TZ,1726298607
320,itaituba,-4.2761,-55.9836,26.91,62,95,0.9,BR,1726298609
321,tidjikja,18.5564,-11.4271,28.65,58,62,3.26,MR,1726298610
322,kourou,5.1552,-52.6478,23.24,94,9,2.29,GF,1726298611
323,kota kinabalu,5.9749,116.0724,31.99,74,20,3.13,MY,1726298612
324,lethem,3.3803,-59.7968,24.41,83,79,4.04,GY,1726298613
325,richards bay,-28.783,32.0377,22.02,71,64,5.84,ZA,1726298614
326,necochea,-38.5473,-58.7368,6.2,84,0,3.01,AR,1726298615
327,motygino,58.1831,94.7592,12.01,92,100,4.43,RU,1726298616
328,noosa heads,-26.3833,153.15,19.78,58,100,6.06,AU,1726298617
329,woodward,36.4337,-99.3904,23.51,53,0,5.66,US,1726298618
330,alice town,25.7167,-79.3,29.21,73,100,2.74,BS,1726298620
331,pangai,-19.8,-174.35,23.87,84,10,7.72,TO,1726298621
332,likiep,9.8251,169.3107,28.3,81,100,8.23,MH,1726298622
333,tommot,58.9564,126.2925,3.91,91,100,2.2,RU,1726298623
334,afaahiti,-17.75,-149.2833,23.7,81,43,6.69,PF,1726298624
335,totness,5.8833,-56.3167,26.08,86,42,4.23,SR,1726298625
336,goure,13.9835,10.2704,29.2,55,29,2.35,NE,1726298626
337,livadiya,42.8692,132.6764,12.44,93,100,2.28,RU,1726298627
338,el bolson,-41.9667,-71.5167,-0.24,97,56,1.99,AR,1726298629
339,pingnan,23.5543,110.3976,33.12,59,100,1.18,CN,1726298630
340,tadine,-21.55,167.8833,22.08,82,6,5.75,NC,1726298631
341,sola,-13.8833,167.55,25.85,89,96,5.92,VU,1726298632
342,gornopravdinsk,60.05,69.9,20.23,64,10,3.31,RU,1726298633
